"No.","Time","Source","Destination","Protocol","Length","Info"
"64","-0.000760572","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"66","-0.000096822","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"77","0.000168729","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"79","0.000648111","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"116","0.005864701","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"117","0.006490959","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"120","0.006816446","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"121","0.007281894","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"156","0.012228860","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"157","0.012860557","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"160","0.013095937","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"161","0.013596568","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"196","0.018415013","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"197","0.018941455","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"200","0.019240005","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"201","0.019911309","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"236","0.025861073","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"237","0.026475886","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"240","0.026715463","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"241","0.027061099","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"276","0.031857437","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"277","0.032242976","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"280","0.032439868","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"281","0.032834548","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"316","0.038060393","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
