"No.","Time","Source","Destination","Protocol","Length","Info"
"2659","0.092082589","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2660","0.092108010","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2661","0.092112255","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2662","0.092140680","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2663","0.092144982","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2664","0.092148597","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2666","0.092155514","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2667","0.092159199","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2668","0.092162449","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2669","0.092175275","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2670","0.092178291","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2671","0.092182069","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2673","0.092187482","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2674","0.092190732","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2675","0.092194088","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2676","0.092199388","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2677","0.092202471","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"2838","0.092082589","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"2839","0.092108010","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"2840","0.092112255","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"2841","0.092140680","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"2842","0.092144982","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"2843","0.092148597","127.0.0.1","127.0.0.1","OpenFlow","163","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"2867","0.094895183","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2868","0.094902042","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2869","0.094906069","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2870","0.094909837","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2871","0.094913176","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2872","0.094916474","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2874","0.094923483","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2875","0.094980349","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2887","0.095379274","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2890","0.095390969","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2892","0.095398429","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2894","0.095404560","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2896","0.095410239","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2898","0.095415507","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2900","0.095420798","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2902","0.095426133","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2903","0.095429898","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2904","0.095434037","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2905","0.095435801","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2906","0.095438462","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2907","0.095443318","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2908","0.095443860","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2909","0.095447458","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2910","0.095450865","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2911","0.095452627","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2912","0.095455037","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2913","0.095457932","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2914","0.095459814","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2915","0.095461121","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2916","0.095464760","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2917","0.095465108","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2918","0.095485001","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2919","0.095518411","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2920","0.095523620","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2921","0.095805182","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2922","0.095810609","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2923","0.095814049","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2925","0.095820373","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2926","0.095823442","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2927","0.095826445","127.0.0.1","127.0.0.1","OpenFlow","191","Type: OFPT_PACKET_IN"
"2928","0.096230190","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2929","0.096380515","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2931","0.096512063","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2932","0.096631255","127.0.0.1","127.0.0.1","OpenFlow","106","Type: OFPT_PACKET_OUT"
"2945","0.097100910","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2946","0.097107802","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2947","0.097111261","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"2948","0.097114518","127.0.0.1","127.0.0.1","OpenFlow","163","Type: OFPT_PACKET_IN"
"3129","0.094895183","127.0.0.1","127.0.0.1","OpenFlow","165","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"3130","0.094902042","127.0.0.1","127.0.0.1","OpenFlow","165","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"3131","0.094906069","127.0.0.1","127.0.0.1","OpenFlow","165","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"3132","0.094909837","127.0.0.1","127.0.0.1","OpenFlow","165","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"3133","0.094913176","127.0.0.1","127.0.0.1","OpenFlow","165","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"3134","0.094916474","127.0.0.1","127.0.0.1","OpenFlow","165","[TCP Spurious Retransmission] Type: OFPT_PACKET_IN"
"3290","0.097121169","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3291","0.097124687","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3293","0.097130667","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3294","0.097133629","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3295","0.097136541","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3296","0.097139451","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3297","0.097142523","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3298","0.097145444","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3300","0.097150347","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3301","0.097153267","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3302","0.097156311","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3303","0.097159326","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3304","0.097162219","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3305","0.098157713","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"3307","0.098309733","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"3355","0.098739162","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3356","0.098745036","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3357","0.098748984","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3358","0.098752387","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3359","0.098755675","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3360","0.098758805","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3362","0.098765047","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3363","0.098768088","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3364","0.098771014","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3365","0.098773910","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3366","0.098776792","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3367","0.098779651","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3369","0.098784649","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3370","0.098787571","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3371","0.098790597","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3372","0.098793518","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
"3373","0.098796371","127.0.0.1","127.0.0.1","OpenFlow","165","Type: OFPT_PACKET_IN"
