"No.","Time","Source","Destination","Protocol","Length","Info"
"41","0.000667047","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"42","0.001312577","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"46","0.001515143","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"47","0.001914103","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"82","0.006792057","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"83","0.007272119","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"86","0.007610130","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"87","0.008138019","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"122","0.012686215","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"123","0.013340355","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"126","0.013603419","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"127","0.014139647","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"162","0.018571174","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"163","0.019061577","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"166","0.019294315","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"167","0.019684021","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"202","0.023901629","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"203","0.024702820","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"206","0.025108997","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"207","0.025566327","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"242","0.031237110","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"243","0.031674621","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"246","0.031876428","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"247","0.032247920","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"282","0.037326197","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"283","0.037790143","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"286","0.037972869","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"287","0.038342280","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"322","0.043036679","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
"323","0.043672946","127.0.0.1","127.0.0.1","OpenFlow","108","Type: OFPT_PACKET_OUT"
"326","0.043884304","127.0.0.1","127.0.0.1","OpenFlow","208","Type: OFPT_PACKET_IN"
