Time,6633-restime,6634-restime,6633-throughput,6634-throughput
0.3,0.025,,40,
0.4,0.003076923,0.022222222,325,45
0.5,0.004761905,0.033333333,210,30
0.6,0.007407407,0.04,135,25
0.7,0.1,,10,
0.8,0.005714286,0.04,175,25
0.9,0.014285714,0.1,70,10
1,0.02,,50,
1.1,0.008695652,0.04,115,25
1.2,0.009090909,0.1,110,10
1.3,0.014285714,0.1,70,10
1.6,0.066666667,,15,
1.7,0.011764706,0.066666667,85,15
1.8,0.025,0.1,40,10
2.1,0.02,,50,
2.4,0.05,0.2,20,5
2.5,0.025,0.2,40,5
2.7,0.033333333,,30,
3,0.000943396,0.003921569,1060,255
3.1,0.00077821,0.003125,1285,320
3.2,0.000803213,0.003278689,1245,305
3.3,0.000819672,0.003174603,1220,315
3.4,0.000760456,0.003076923,1315,325
3.5,0.000847458,0.003389831,1180,295
3.6,0.000877193,0.003571429,1140,280
3.7,0.000865801,0.003333333,1155,300
3.8,0.0008,0.003278689,1250,305
3.9,0.000793651,0.003174603,1260,315
4,0.000947867,0.003846154,1055,260
4.1,0.001025641,0.004,975,250
4.2,0.000854701,0.003571429,1170,280
4.3,0.000881057,0.003571429,1135,280
4.4,0.000851064,0.003333333,1175,300
4.5,0.000881057,0.003571429,1135,280
4.6,0.000881057,0.003571429,1135,280
4.7,0.000823045,0.003278689,1215,305
4.8,0.000819672,0.003225806,1220,310
4.9,0.000873362,0.003448276,1145,290
5,0.000925926,0.003773585,1080,265
5.1,0.000956938,0.003773585,1045,265
5.2,0.000869565,0.003508772,1150,285
5.3,0.000862069,0.003448276,1160,290
5.4,0.000896861,0.003703704,1115,270
5.5,0.000877193,0.003571429,1140,280
5.6,0.000862069,0.003448276,1160,290
5.7,0.000884956,0.003508772,1130,285
5.8,0.000840336,0.003389831,1190,295
5.9,0.000904977,0.003571429,1105,280
6,0.000816327,0.003225806,1225,310
6.1,0.000921659,0.003846154,1085,260
6.2,0.000877193,0.003508772,1140,285
6.3,0.000826446,0.003278689,1210,305
6.4,0.000829876,0.003389831,1205,295
6.5,0.000854701,0.003389831,1170,295
6.6,0.000934579,0.003773585,1070,265
6.7,0.000833333,0.003333333,1200,300
6.8,0.000862069,0.003508772,1160,285
6.9,0.000851064,0.003389831,1175,295
7,0.000877193,0.003448276,1140,290
7.1,0.000900901,0.003571429,1110,280
7.2,0.000847458,0.003448276,1180,290
7.3,0.000796813,0.003125,1255,320
7.4,0.00075188,0.003030303,1330,330
7.5,0.000823045,0.003508772,1215,285
7.6,0.000826446,0.003278689,1210,305
7.7,0.000862069,0.003389831,1160,295
7.8,0.000947867,0.003846154,1055,260
7.9,0.000896861,0.003636364,1115,275
8,0.000833333,0.003389831,1200,295
8.1,0.000793651,0.003125,1260,320
8.2,0.000888889,0.003846154,1125,260
8.3,0.000813008,0.003278689,1230,305
